'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
Rorqual Digmaster Blazon Serenity Only SKIN (365 Days)	长须鲸级采掘大师纹章涂装（365天）
Rorqual Digmaster Blazon Serenity Only SKIN (7 Days)	长须鲸级采掘大师纹章涂装（7天）
Rorqual Digmaster Blazon Serenity Only SKIN (90 Days)	长须鲸级采掘大师纹章涂装（90天）
Rorqual Digmaster Blazon Serenity Only SKIN (Permanent)	长须鲸级采掘大师纹章涂装（无限期）
Rorqual Gallente Industrial Livery SKIN (Permanent)	长须鲸级盖伦特工业制服涂装（无限期）
Rorqual Guristas Industrial Livery SKIN (Permanent)	长须鲸级古斯塔斯工业制服涂装（无限期）
Rorqual Minmatar Industrial Livery SKIN (Permanent)	长须鲸级米玛塔尔工业制服涂装（无限期）
Rorqual Morphite Shine SKIN (Permanent)	长须鲸级莫尔石之辉涂装（无限期）
Rorqual Morphite Shine Serenity Only SKIN (30 Days)	长须鲸级莫尔石之辉涂装（30天）
Rorqual Morphite Shine Serenity Only SKIN (365 Days)	长须鲸级莫尔石之辉涂装（365天）
Rorqual Morphite Shine Serenity Only SKIN (7 Days)	长须鲸级莫尔石之辉涂装（7天）
Rorqual Morphite Shine Serenity Only SKIN (90 Days)	长须鲸级莫尔石之辉涂装（90天）
Rorqual Morphite Shine Serenity Only SKIN (Permanent)	长须鲸级莫尔石之辉涂装（无限期）
Rorqual Nocx Rush SKIN (Permanent)	长须鲸级ORE涂装（无限期）
Rorqual ORE Development Edition	长须鲸级ORE开发版
Rorqual ORE Development Edition Blueprint	长须鲸级ORE开发版蓝图
Rorqual ORE Development Edition Wreck	长须鲸级ORE开发版残骸
Rorqual ORE Development SKIN (30 Days)	长须鲸级ORE涂装（30天）
Rorqual ORE Development SKIN (365 Days)	长须鲸级ORE涂装（365天）
Rorqual ORE Development SKIN (7 Days)	长须鲸级ORE涂装（7天）
Rorqual ORE Development SKIN (90 Days)	长须鲸级ORE涂装（90天）
Rorqual ORE Development Serenity Only SKIN (Permanent)	长须鲸级ORE涂装（无限期）
Rorqual Paydirt Prospector SKIN (Permanent)	长须鲸级财富勘探者涂装（无限期）
Rorqual Paydirt Prospector Serenity Only SKIN (30 Days)	长须鲸级财富勘探者涂装（30天）
Rorqual Paydirt Prospector Serenity Only SKIN (365 Days)	长须鲸级财富勘探者涂装（365天）
Rorqual Paydirt Prospector Serenity Only SKIN (7 Days)	长须鲸级财富勘探者涂装（7天）
Rorqual Paydirt Prospector Serenity Only SKIN (90 Days)	长须鲸级财富勘探者涂装（90天）
Rorqual Paydirt Prospector Serenity Only SKIN (Permanent)	长须鲸级财富勘探者涂装（无限期）
Rorqual Rosada Dawn SKIN (Permanent)	长须鲸级罗萨达黎明涂装（无限期）
Rorqual Rosada Dawn Serenity Only SKIN (30 Days)	长须鲸级罗萨达黎明涂装（30天）
Rorqual Rosada Dawn Serenity Only SKIN (365 Days)	长须鲸级罗萨达黎明涂装（365天）
Rorqual Rosada Dawn Serenity Only SKIN (7 Days)	长须鲸级罗萨达黎明涂装（7天）
Rorqual Rosada Dawn Serenity Only SKIN (90 Days)	长须鲸级罗萨达黎明涂装（90天）
Rorqual Rosada Dawn Serenity Only SKIN (Permanent)	长须鲸级罗萨达黎明涂装（无限期）
Rorqual Sansha Industrial Livery SKIN (Permanent)	长须鲸级萨沙工业制服涂装（无限期）
Rorqual Wreck	长须鲸级残骸
Rost's Ferox	鲁斯特的猛鲑级飞船
Rosulf Fririk	罗瑟夫·弗里力克
Rotgut	卢加特
Router Encryption Key	路由器加密钥匙
Rubin Basic Particle Bore Stream	鲁宾基础型粒子激光钻
Rubin Sozar	鲁宾·索扎
Rugaert's Vigil	拉盖特的守夜者级飞船
Ruined Hive Mind	荒废的母体芯片
Ruined Monument	荒废的纪念碑
Ruined Neon Sign	霓虹灯废墟
Ruined Scraps 3	损坏的残片 3
Ruined Scraps 4	损坏的残片 4
Ruined Stargate	星际之门废墟
Ruined Stargate Cipher	星门废墟的密码
Rules of Engagement	《交战规则》
Runaway Daughter	逃跑的女儿
Runic Inscription	符文碑铭
Runic Tablet	符文碎片
Runner Drone	跑跑无人机
Runner's Relay Station	走私中继站
Rupptofs' Scythe	拉普多夫的镰刀级飞船
Rupture	断崖级
Rupture Blue Tiger SKIN (Permanent)	断崖级蓝虎涂装（无限期）
Rupture Blue Tiger Serenity Only SKIN (30 Days)	断崖级蓝虎涂装（30天）
Rupture Blue Tiger Serenity Only SKIN (365 Days)	断崖级蓝虎涂装（365天）
Rupture Blue Tiger Serenity Only SKIN (7 Days)	断崖级蓝虎涂装（7天）
Rupture Blue Tiger Serenity Only SKIN (90 Days)	断崖级蓝虎涂装（90天）
Rupture Blue Tiger Serenity Only SKIN (Permanent)	断崖级蓝虎涂装（无限期）
Rupture Blueprint	断崖级蓝图
Rupture Justice SKIN (Permanent)	断崖级司法局涂装（无限期）
Rupture Justice Serenity Only SKIN (30 Days)	断崖级司法局涂装（30天）
Rupture Justice Serenity Only SKIN (365 Days)	断崖级司法局涂装（365天）
Rupture Justice Serenity Only SKIN (7 Days)	断崖级司法局涂装（7天）
Rupture Justice Serenity Only SKIN (90 Days)	断崖级司法局涂装（90天）
Rupture Justice Serenity Only SKIN (Permanent)	断崖级司法局涂装（无限期）
Rupture Tronhadar Ink SKIN (Permanent)	断崖级隆哈达之墨涂装（无限期）
Rupture Tronhadar Ink Serenity Only SKIN (30 Days)	断崖级隆哈达之墨涂装（30天）
Rupture Tronhadar Ink Serenity Only SKIN (365 Days)	断崖级隆哈达之墨涂装（365天）
Rupture Tronhadar Ink Serenity Only SKIN (7 Days)	断崖级隆哈达之墨涂装（7天）
Rupture Tronhadar Ink Serenity Only SKIN (90 Days)	断崖级隆哈达之墨涂装（90天）
Rupture Tronhadar Ink Serenity Only SKIN (Permanent)	断崖级隆哈达之墨涂装（无限期）
Rupture Valklear Glory SKIN (Permanent)	断崖级瓦基尔荣耀涂装（无限期）
Rupture Valklear Glory Serenity Only SKIN (30 Days)	断崖级瓦基尔荣耀涂装（30天）
Rupture Valklear Glory Serenity Only SKIN (365 Days)	断崖级瓦基尔荣耀涂装（365天）
Rupture Valklear Glory Serenity Only SKIN (7 Days)	断崖级瓦基尔荣耀涂装（7天）
Rupture Valklear Glory Serenity Only SKIN (90 Days)	断崖级瓦基尔荣耀涂装（90天）
Rupture Valklear Glory Serenity Only SKIN (Permanent)	断崖级瓦基尔荣耀涂装（无限期）
Rupture YC119 Yoiul Festival 'Glacial Drift' Edition SKIN (Permanent)	断崖级YC119年尤尔节“寒冰之痕”涂装（无限期）
Rusty Cloud	褐色云团
Ruupas Vonni's Outpost	鲁帕斯·弗尼的哨站
Ryoke Laika	留克·莱卡
Ryoke Laika's Head	留克·莱卡的头颅
S.I Formula Sheet	S.I 公式单
SARO Emblem	SARO标记
SARO Frigate	SARO 护卫舰
SCC Guidelines – Lotteries For Dummies	商业安全委员会 - 傻瓜彩票指南
SKIN	涂装
SOCT 1 Blueprint	SOCT 1蓝图
SOCT 2 Blueprint	SOCT 2蓝图
SPZ-3 "Torch" Laser Sight Combat Ocular Enhancer (right/black)	SPZ-3"火炬"激光视觉战斗目镜加强器(黑色右眼)
ST 58 Memory Chip	ST58记忆芯片
ST 59	ST59
ST 59 Memory Chip	ST59记忆芯片
ST 60	ST60
ST 60 Memory Chip	ST60记忆芯片
Saan Go Caste	桑戈阶级
Saboteur Mercenary	阴谋者雇佣兵
Sabre	剑齿虎级
Sabre Blue Tiger SKIN (Permanent)	剑齿虎级蓝虎涂装（无限期）
Sabre Blue Tiger Serenity Only SKIN (30 Days)	剑齿虎级蓝虎涂装（30天）
Sabre Blue Tiger Serenity Only SKIN (365 Days)	剑齿虎级蓝虎涂装（365天）
Sabre Blue Tiger Serenity Only SKIN (7 Days)	剑齿虎级蓝虎涂装（7天）
Sabre Blue Tiger Serenity Only SKIN (90 Days)	剑齿虎级蓝虎涂装（90天）
Sabre Blue Tiger Serenity Only SKIN (Permanent)	剑齿虎级蓝虎涂装（无限期）
Sabre Blueprint	剑齿虎级蓝图
Sabre Justice SKIN (Permanent)	剑齿虎级司法局涂装（无限期）
Sabre Justice Serenity Only SKIN (30 Days)	剑齿虎级司法局涂装（30天）
Sabre Justice Serenity Only SKIN (365 Days)	剑齿虎级司法局涂装（365天）
Sabre Justice Serenity Only SKIN (7 Days)	剑齿虎级司法局涂装（7天）
Sabre Justice Serenity Only SKIN (90 Days)	剑齿虎级司法局涂装（90天）
Sabre Justice Serenity Only SKIN (Permanent)	剑齿虎级司法局涂装（无限期）
Sabre Tronhadar Ink SKIN (Permanent)	剑齿虎级隆哈达之墨涂装（无限期）
Sabre Tronhadar Ink Serenity Only SKIN (30 Days)	剑齿虎级隆哈达之墨涂装（30天）
Sabre Tronhadar Ink Serenity Only SKIN (365 Days)	剑齿虎级隆哈达之墨涂装（365天）
Sabre Tronhadar Ink Serenity Only SKIN (7 Days)	剑齿虎级隆哈达之墨涂装（7天）
Sabre Tronhadar Ink Serenity Only SKIN (90 Days)	剑齿虎级隆哈达之墨涂装（90天）
Sabre Tronhadar Ink Serenity Only SKIN (Permanent)	剑齿虎级隆哈达之墨涂装（无限期）
Sabre Valklear Glory SKIN (Permanent)	剑齿虎级瓦基尔荣耀涂装（无限期）
Sabre Valklear Glory Serenity Only SKIN (30 Days)	剑齿虎级瓦基尔荣耀涂装（30天）
Sabre Valklear Glory Serenity Only SKIN (365 Days)	剑齿虎级瓦基尔荣耀涂装（365天）
Sabre Valklear Glory Serenity Only SKIN (7 Days)	剑齿虎级瓦基尔荣耀涂装（7天）
Sabre Valklear Glory Serenity Only SKIN (90 Days)	剑齿虎级瓦基尔荣耀涂装（90天）
Sabre Valklear Glory Serenity Only SKIN (Permanent)	剑齿虎级瓦基尔荣耀涂装（无限期）
Sacred Bricks	大教堂的砖块
Sacrilege	渎圣级
Sacrilege Blueprint	渎圣级蓝图
Sacrilege Cold Iron SKIN (Permanent)	渎圣级白刃涂装（无限期）
Sacrilege Cold Iron Serenity Only SKIN (30 Days)	渎圣级白刃涂装（30天）
Sacrilege Cold Iron Serenity Only SKIN (365 Days)	渎圣级白刃涂装（365天）
Sacrilege Cold Iron Serenity Only SKIN (7 Days)	渎圣级白刃涂装（7天）
Sacrilege Cold Iron Serenity Only SKIN (90 Days)	渎圣级白刃涂装（90天）
Sacrilege Cold Iron Serenity Only SKIN (Permanent)	渎圣级白刃涂装（无限期）
Sacrilege Crimson Harvest YC118 SKIN (Permanent)	渎圣级YC118年血色收割涂装（无限期）
Sacrilege Crimson Harvest YC118 Serenity Only SKIN (30 Days)	渎圣级YC118年血色收割涂装（30天）
Sacrilege Crimson Harvest YC118 Serenity Only SKIN (365 Days)	渎圣级YC118年血色收割涂装（365天）
Sacrilege Crimson Harvest YC118 Serenity Only SKIN (7 Days)	渎圣级YC118年血色收割涂装（7天）
Sacrilege Crimson Harvest YC118 Serenity Only SKIN (90 Days)	渎圣级YC118年血色收割涂装（90天）
Sacrilege Crimson Harvest YC118 Serenity Only SKIN (Permanent)	渎圣级YC118年血色收割涂装（无限期）
Sacrilege EoM SKIN (Permanent)	渎圣级EoM涂装（无限期）
Sacrilege EoM Serenity Only SKIN (30 Days)	渎圣级EoM涂装（30天）
Sacrilege EoM Serenity Only SKIN (365 Days)	渎圣级EoM涂装（365天）
Sacrilege EoM Serenity Only SKIN (7 Days)	渎圣级EoM涂装（7天）
Sacrilege EoM Serenity Only SKIN (90 Days)	渎圣级EoM涂装（90天）
Sacrilege EoM Serenity Only SKIN (Permanent)	渎圣级EoM涂装（无限期）
Sacrilege Purity of the Throne SKIN (Permanent)	渎圣级圣洁王座涂装（无限期）
Sacrilege Purity of the Throne Serenity Only SKIN (30 Days)	渎圣级圣洁王座涂装（30天）
Sacrilege Purity of the Throne Serenity Only SKIN (365 Days)	渎圣级圣洁王座涂装（365天）
Sacrilege Purity of the Throne Serenity Only SKIN (7 Days)	渎圣级圣洁王座涂装（7天）
Sacrilege Purity of the Throne Serenity Only SKIN (90 Days)	渎圣级圣洁王座涂装（90天）
Sacrilege Purity of the Throne Serenity Only SKIN (Permanent)	渎圣级圣洁王座涂装（无限期）
Sacrilege Raata Sunset SKIN (Permanent)	渎圣级拉塔日落涂装（无限期）
Sacrilege Raata Sunset Serenity Only SKIN (30 Days)	渎圣级拉塔日落涂装（30天）
Sacrilege Raata Sunset Serenity Only SKIN (365 Days)	渎圣级拉塔日落涂装（365天）
Sacrilege Raata Sunset Serenity Only SKIN (7 Days)	渎圣级拉塔日落涂装（7天）
Sacrilege Raata Sunset Serenity Only SKIN (90 Days)	渎圣级拉塔日落涂装（90天）
Sacrilege Raata Sunset Serenity Only SKIN (Permanent)	渎圣级拉塔日落涂装（无限期）
Sade's Pass	萨德的通行证
Sadry Damoklet's Head	萨得里·达摩克勒特的头颅
Safe House Ruins	安全藏身处的废墟
Safe-Deposit Box Owner List	保险箱业主名单
Sagacious Path Fighter	明智之路战士
Sagimoro's Blackbird	萨格莫洛的黑鸟级飞船
Sail Charger	充电器
Saintly Shroud	圣人的裹尸布
Sakkaro's Badger	萨卡诺的獾级飞船
Sakt's Stiletto	萨克特的短剑级飞船
Salvage Containers	打捞货柜
Salvage Decryptors	打捞解码器
Salvage Drone	打捞无人机
Salvage Drone Blueprint	打捞无人机蓝图
Salvage Drone I	打捞无人机 I
Salvage Drone I Blueprint	打捞无人机 I 蓝图
Salvage Drone Operation	打捞无人机操控理论
Salvage Drones	打捞无人机
Salvage Hold Capacity	打捞舱容量
Salvage Materials	打捞材料
Salvaged Data Core	打捞出的数据核心
Salvaged Electronics	回收的电子元件
Salvaged Materials	打捞材料
Salvager	打捞器
Salvager Blueprint	打捞器蓝图
Salvager I	打捞器 I
Salvager I Blueprint	打捞器蓝图 I
Salvager II	打捞器 II
Salvager II Blueprint	打捞器蓝图 II
Salvagers	打捞器
Salvaging	打捞回收技术
Salvation Angels Strong Box	打捞天使集团保险柜
Sami Kurzon	沙米·库尔宗
Sample of Septicemic Agent	败血病原体的样本
Sanderi Ualmun's Bunker	桑得利·乌姆的堡垒
Sang Do Caste	桑杜阶级
Sangrel Minn	珊葛瑞·明
Sanku Pansya	桑库·潘萨
Sansha	萨沙
Sansha Administrator	萨沙部长
Sansha Barricade	萨沙阻隔带
Sansha Barrier	萨沙屏障
Sansha Battery	萨沙炮塔
Sansha Battlestation_event	萨沙太空堡垒_事件
Sansha Black Ops Squad Leader	萨沙 黑色行动小队长
Sansha Brass Tag	萨沙黄铜铭牌
Sansha Bronze Tag	萨沙青铜铭牌
Sansha Bunker	萨沙碉堡
Sansha Claws Fairytale Book	萨沙利爪童话书
Sansha Clone Soldier Negotiator	萨沙克隆战士谈判者
Sansha Clone Soldier Recruiter	萨沙克隆战士招募员
Sansha Clone Soldier Trainer	萨沙克隆战士教官
Sansha Clone Soldier Transporter	萨沙克隆战士运输员
Sansha Com Tower	萨沙通信塔
Sansha Command Signal Receiver	萨沙指挥信号接收器
Sansha Communications Array	萨沙通信阵列
Sansha Control Center	萨沙控制中心
Sansha Control Relay	萨沙控制中继器
Sansha Control Tower	萨沙控制塔
Sansha Control Tower Blueprint	萨沙控制塔蓝图
Sansha Control Tower Medium	萨沙中型控制塔
Sansha Control Tower Medium Blueprint	萨沙中型控制塔蓝图
Sansha Control Tower Small	萨沙小型控制塔
Sansha Control Tower Small Blueprint	萨沙小型控制塔蓝图
Sansha Copper Tag	萨沙铜质铭牌
Sansha Corpse Collector	萨沙 收尸船
Sansha Cruise Missile Battery	萨沙巡航导弹炮塔
Sansha Crystal Tag	萨沙水晶铭牌
Sansha Cynosural Field	萨沙诱导力场
Sansha Data Sheets	萨沙数据单
Sansha Databank	萨沙数据库
Sansha Deadspace Outpost	萨沙死亡空间哨站
Sansha Deadspace Outpost I	萨沙死亡空间哨站 I
Sansha Debris	萨沙残片
Sansha Derelict	萨沙遗弃物
Sansha Diamond Tag	萨沙钻石铭牌
Sansha Dreadnought Wreck	萨沙无畏舰残骸
Sansha Electrum Tag	萨沙合金铭牌
Sansha Elevator	萨沙升降机
Sansha Energy Neutralizer Sentry I	萨沙能量中和炮塔 I
Sansha Energy Neutralizer Sentry II	萨沙能量中和炮塔 II
Sansha Energy Neutralizer Sentry III	萨沙能量中和炮塔 III
Sansha Energy Neutralizing Battery	萨沙能量中和波发射台
Sansha Energy Neutralizing Battery Blueprint	萨沙能量中和波发射台蓝图
Sansha Fence	萨沙防护栏
Sansha Fleet Outpost	萨沙舰队哨站
Sansha Gold Tag	萨沙黄金铭牌
Sansha Heavy Missile Battery	萨沙重型导弹炮塔
Sansha Hulk	萨沙霍克舰
Sansha Infiltrator	萨沙 渗透者
Sansha Infiltrator Tag	萨沙渗透者铭牌
Sansha Info Shard	萨沙信息数据片
Sansha Juggernaut Torpedo Blueprint	萨沙独裁者鱼雷蓝图
Sansha Junction	萨沙节点
Sansha Large Beam Laser Battery	萨沙大型集束激光炮台
Sansha Large Beam Laser Battery Blueprint	萨沙大型集束激光炮台蓝图
Sansha Large Pulse Laser Battery	萨沙大型脉冲激光炮台
Sansha Large Pulse Laser Battery Blueprint	萨沙大型脉冲激光炮台蓝图
Sansha Light Missile Battery	萨沙轻型导弹炮塔
Sansha Logistics Control Array	萨沙后勤控制阵列
Sansha Lookout	萨沙哨站
Sansha Mainframe	萨沙主机服务器
Sansha Medium Beam Laser Battery	萨沙中型集束激光炮台
Sansha Medium Beam Laser Battery Blueprint	萨沙中型集束激光炮台蓝图
Sansha Medium Pulse Laser Battery	萨沙中型脉冲激光炮台
Sansha Medium Pulse Laser Battery Blueprint	萨沙中型脉冲激光炮台蓝图
Sansha Miner	萨沙矿工
Sansha Mjolnir Assault Missile	萨沙雷神攻击导弹
Sansha Mjolnir Rocket	萨沙雷神火箭
Sansha Mjolnir Torpedo	萨沙雷神鱼雷
Sansha Modified 'Gnome' Implant	萨沙改进型侏儒植入体
Sansha Narcotics Storage Facility	萨沙镇静剂贮存站
Sansha Outpost Administration Building	萨沙哨站管理所
Sansha Outpost Securitycard	萨沙哨站的安全卡
Sansha Palladium Tag	萨沙钯金铭牌
Sansha Paradise Cruise Missile	萨沙雷神巡航导弹
Sansha Platinum Tag	萨沙白金铭牌
Sansha Point Defense Battery	萨沙定点防御炮塔
Sansha Remains	萨沙残骸
Sansha Remote Logistics Station	萨沙边远后勤空间站
Sansha Research Outpost	萨沙研究哨站
Sansha Rubble	萨沙碎片
Sansha Ruins	萨沙废墟
Sansha Sabretooth Light Missile	萨沙雷神轻型导弹
Sansha Sentry Gun	萨沙岗哨炮
Sansha Ship Debris	萨沙舰船残骸
Sansha Ship Derelict	萨沙舰船遗留物
Sansha Ship Hulk	萨沙舰船船体
Sansha Ship Log 104398459	萨沙航行日志104398459
Sansha Ship Log 112457832	萨沙航行日志112457832
Sansha Ship Log 136423760	萨沙航行日志136423760
Sansha Ship Log 148920447	萨沙航行日志148920447
Sansha Ship Log 187342874	萨沙航行日志187342874
Sansha Ship Log 309832812	萨沙航行日志309832812
Sansha Ship Log 322301875	萨沙航行日志322301875
Sansha Ship Log 363587633	萨沙航行日志363587633
Sansha Ship Log 500237688	萨沙航行日志500237688
Sansha Ship Log 549327937	萨沙航行日志549327937
Sansha Ship Log 566930267	萨沙航行日志566930267
Sansha Ship Remains	萨沙舰船残留部分
Sansha Ship Rubble	萨沙舰船碎片
Sansha Ship Ruins	萨沙舰船废墟
Sansha Ship Waste	萨沙废弃舰船
Sansha Ship Wreck	萨沙舰船残骸
Sansha Shipyard Foreman	萨沙 船坞监工
Sansha Silver Tag	萨沙银质铭牌
Sansha Small Beam Laser Battery	萨沙小型集束激光炮台
Sansha Small Beam Laser Battery Blueprint	萨沙小型集束激光炮台蓝图
Sansha Small Pulse Laser Battery	萨沙小型脉冲激光炮台
Sansha Small Pulse Laser Battery Blueprint	萨沙小型脉冲激光炮台蓝图
Sansha Starbase Control Tower	萨沙母星控制塔
Sansha Stasis Tower	萨沙停滞网塔楼
Sansha Station Ruins	萨沙空间站废墟
Sansha Supply Pit Passcard	萨沙补给舱库通行卡
Sansha Tenebrus	萨沙 黑暗使者
Sansha Territorial Reclamation Outpost	萨沙领地收复哨站
Sansha Thunderbolt Heavy Missile	萨沙雷电重型导弹
Sansha Victory SKIN (Permanent)	萨沙胜利涂装（无限期）
Sansha Wall	萨沙之墙
Sansha Waste	萨沙废渣
Sansha Wrath Cruise Missile Blueprint	萨沙怒火巡航导弹蓝图
Sansha Wreck	萨沙残骸
Sansha's Abomination	萨沙 憎恶者
Sansha's Battletower	萨沙战斗堡垒
Sansha's Beast	萨沙 野兽
Sansha's Beast Lord	萨沙 兽王
Sansha's Behemoth	萨沙 巨兽
Sansha's Berserker	萨沙 狂战士
Sansha's Bulker	萨沙 主体舰
Sansha's Butcher	萨沙 屠夫
Sansha's Cannibal	萨沙 食人者
Sansha's Carrier	萨沙 航空母舰
Sansha's Convoy	萨沙 护卫舰
Sansha's Courier	萨沙 快急舰
Sansha's Daemon	萨沙 恶魔
Sansha's Dark Lord	萨沙 黑暗君王
Sansha's Demon	萨沙 恶魔
Sansha's Devil	萨沙 魔鬼
Sansha's Devourer	萨沙 吞没者
Sansha's Dread Lord	萨沙 恐惧君王
Sansha's Dreadnought	萨沙无畏舰
Sansha's Enslaver	萨沙 奴役者
Sansha's Execrator	萨沙 诅咒者
Sansha's Ferrier	萨沙 轮渡舰
Sansha's Fiend	萨沙 魔王
Sansha's Fugitive	萨沙 逃亡者
Sansha's Gatherer	萨沙 采集船
Sansha's Harvester	萨沙 收割船
Sansha's Hauler	萨沙 运载舰
Sansha's Hellhound	萨沙 地狱犬
Sansha's Horror	萨沙 恐惧者
Sansha's Juggernaut	萨沙 主宰者
Sansha's Loader	萨沙 装载船
Sansha's Lord	萨沙 君王
Sansha's Loyal Beast	萨沙 忠诚野兽
Sansha's Loyal Butcher	萨沙 忠诚屠夫
Sansha's Loyal Enslaver	萨沙 忠诚奴役者
Sansha's Loyal Execrator	萨沙 忠诚诅咒者
Sansha's Loyal Fiend	萨沙 忠诚魔王
Sansha's Loyal Hellhound	萨沙 忠诚地狱犬
Sansha's Loyal Juggernaut	萨沙 忠诚主宰者
Sansha's Loyal Manslayer	萨沙 忠诚残杀者
Sansha's Loyal Minion	萨沙 忠诚奴臣
Sansha's Loyal Mutilator	萨沙 忠诚毁损者
Sansha's Loyal Plague	萨沙 忠诚折磨者
Sansha's Loyal Ravager	萨沙 忠诚掠夺者
Sansha's Loyal Ravener	萨沙 忠诚掠夺者
Sansha's Loyal Ravisher	萨沙 忠诚强夺者
Sansha's Loyal Savage	萨沙 忠诚施暴者
Sansha's Loyal Scavanger	萨沙 忠诚食腐者
Sansha's Loyal Servant	萨沙 忠诚仆从者
Sansha's Loyal Slaughterer	萨沙 忠诚刽子手
Sansha's Loyal Slavehunter	萨沙 忠诚猎奴者
Sansha's Loyal Torturer	萨沙 忠诚折磨者
Sansha's Minion	萨沙 奴臣
Sansha's Misshape	萨沙 畸变者
Sansha's Monster	萨沙 恶怪
Sansha's Mutant Lord	萨沙 变种君王
Sansha's Mutilator	萨沙 毁损者
Sansha's Nation	萨沙共和国
Sansha's Nation Central Bastion	萨沙中枢堡垒
Sansha's Nation Commander	萨沙指挥官
Sansha's Nation Lookout	萨沙哨卫
Sansha's Nation Sentry	萨沙哨兵
Sansha's Nation Warden	萨沙典狱官
Sansha's Nation Watcher	萨沙守卫
Sansha's Overlord	萨沙 大君王
Sansha's Phantasm	萨沙 幻影
Sansha's Plague	萨沙 折磨者
Sansha's Plague Lord	萨沙 折磨君王
Sansha's Ravager	萨沙 掠夺者
Sansha's Ravener	萨沙 掠夺者
Sansha's Ravisher	萨沙 强夺者
Sansha's Savage	萨沙 施暴者
Sansha's Savage Lord	萨沙 野蛮君王
Sansha's Scavenger	萨沙 食腐者
Sansha's Servant	萨沙 仆从
Sansha's Slaughterer	萨沙 刽子手
Sansha's Slave Lord	萨沙 劳工主
Sansha's Slave Master	萨沙 劳工主
Sansha's Slavehunter	萨沙 猎奴者
Sansha's Specter	萨沙 幽灵
Sansha's Torturer	萨沙 折磨者
Sansha's Trailer	萨沙 拖运船
Sansha's Transporter	萨沙 运输舰
Sansha's Trucker	萨沙 拖船
Sansha's Tyrant	萨沙 暴君
Sansha's Tyrant Elite	萨沙 暴君精英
Sansha's Wraith	萨沙 幽魂
Sanshas Gamma L	萨沙伽玛晶体 L
Sanshas Gamma M	萨沙伽玛晶体 M
Sanshas Gamma S	萨沙伽玛晶体 S
Sanshas Gamma XL	萨沙伽玛晶体 XL
Sanshas Infrared L	萨沙红外晶体 L
Sanshas Infrared M	萨沙红外晶体 M
Sanshas Infrared S	萨沙红外晶体 S
Sanshas Infrared XL	萨沙红外晶体 XL
Sanshas Large Commander Wreck	萨沙大型指挥舰残骸
Sanshas Large Wreck	萨沙大型残骸
Sanshas Medium Commander Wreck	萨沙中型指挥舰残骸
Sanshas Medium Wreck	萨沙中型残骸
Sanshas Microwave L	萨沙微波晶体 L
Sanshas Microwave M	萨沙微波晶体 M
Sanshas Microwave S	萨沙微波晶体 S
Sanshas Microwave XL	萨沙微波晶体 XL
Sanshas Multifrequency L	萨沙多频晶体 L
Sanshas Multifrequency M	萨沙多频晶体 M
Sanshas Multifrequency S	萨沙多频晶体 S
Sanshas Multifrequency XL	萨沙多频晶体 XL
Sanshas Officer Wreck	萨沙官员残骸
Sanshas Personnel Transport	萨沙 人员穿梭机
Sanshas Radio L	萨沙射频晶体 L
Sanshas Radio M	萨沙射频晶体 M
Sanshas Radio S	萨沙射频晶体 S
Sanshas Radio XL	萨沙射频晶体 XL
Sanshas Small Commander Wreck	萨沙小型指挥舰残骸
Sanshas Small Wreck	萨沙小型残骸
Sanshas Standard L	萨沙标准晶体 L
Sanshas Standard M	萨沙标准晶体 M
Sanshas Standard S	萨沙标准晶体 S
Sanshas Standard XL	萨沙标准晶体 XL
Sanshas Supercarrier Wreck	萨沙超级航母残骸
Sanshas Transport Ship	萨沙 运输船
Sanshas Ultraviolet L	萨沙紫外晶体 L
Sanshas Ultraviolet M	萨沙紫外晶体 M
Sanshas Ultraviolet S	萨沙紫外晶体 S
Sanshas Ultraviolet XL	萨沙紫外晶体 XL
Sanshas Xray L	萨沙X射线晶体 L
Sanshas Xray M	萨沙X射线晶体 M
Sanshas Xray S	萨沙X射线晶体 S
Sanshas Xray XL	萨沙X射线晶体 XL
Sarbaert's Hound	萨巴特的猎犬级飞船
Sareko's Capsule	撒勒克的密封舱
Sari Arkhi's Bhaalgorn	萨莉·埃哈的巴戈龙级飞船
Sarpati Family Enforcer	萨巴蒂家族执行者
Sarrah	萨拉
Sarum Customs General	萨拉姆海关 将军
Sarum Customs Surveillance Officer	萨拉姆海关 监察官
Sarum Magnate	萨拉姆富豪级
Sarum Magnate Blueprint	萨拉姆富豪级蓝图
Sarum Maller	萨拉姆 暴君级
Sarum Navy Captain	萨拉姆海军 上尉
Sarum Navy Colonel	萨拉姆海军 上校
Sarum Navy General	萨拉姆海军将军
Sarum Navy Major	萨拉姆海军 少校
Sarum Navy Sergeant	萨拉姆海军 中士
Sarum Navy Sergeant Major	萨拉姆海军 军校
Sarum Spider	萨拉姆 蜘蛛护卫舰
Sarum Surveillance General Major	萨拉姆监察少将
Sarum Surveillance Officer	萨拉姆监察官
Sarum Surveillance Sergeant	萨拉姆监察 中士
Sarum Surveillance Sergeant Major	萨拉姆监察 军校
Satellite	人造卫星
Saturi's Bustard	萨图希的大鸨级飞船
Satyr I	萨梯 I
Satyr I Blueprint	萨梯蓝图 I
Satyr II	萨梯 II
Satyr II Blueprint	萨梯蓝图 II
Sayto's Badger Mark II	萨托的獾级MKII
Scalar Capacitor Unit	标量电容器单元
